AGEP,COW,SCHL,MAR,OCCP,RELP,WKHP,SEX,RAC1P,PINCP
72.0,6.0,22.0,4.0,2600.0,2.0,25.0,1.0,1.0,0
45.0,1.0,19.0,5.0,5740.0,2.0,40.0,2.0,1.0,0
22.0,1.0,20.0,5.0,1545.0,0.0,30.0,2.0,1.0,0
29.0,1.0,16.0,5.0,4251.0,17.0,40.0,1.0,1.0,0
45.0,3.0,21.0,1.0,2310.0,0.0,60.0,2.0,1.0,1
43.0,1.0,21.0,1.0,9310.0,0.0,40.0,1.0,1.0,0
45.0,1.0,19.0,5.0,5820.0,2.0,40.0,2.0,2.0,0
44.0,1.0,21.0,1.0,300.0,0.0,40.0,1.0,1.0,1
26.0,1.0,19.0,1.0,2910.0,2.0,20.0,2.0,1.0,0
26.0,1.0,19.0,5.0,7200.0,2.0,40.0,1.0,1.0,0
23.0,1.0,16.0,5.0,8320.0,2.0,40.0,1.0,1.0,0
26.0,5.0,19.0,5.0,3945.0,2.0,40.0,1.0,8.0,0
61.0,4.0,20.0,1.0,2545.0,0.0,40.0,2.0,1.0,1
41.0,5.0,18.0,1.0,5240.0,1.0,40.0,2.0,1.0,0
38.0,4.0,19.0,1.0,630.0,0.0,40.0,2.0,1.0,1
59.0,1.0,21.0,5.0,9620.0,0.0,28.0,2.0,1.0,0
21.0,2.0,19.0,5.0,5820.0,17.0,20.0,2.0,6.0,0
42.0,2.0,19.0,5.0,1970.0,11.0,35.0,1.0,1.0,0
42.0,1.0,22.0,1.0,2850.0,1.0,40.0,1.0,1.0,1
42.0,2.0,22.0,4.0,2004.0,0.0,40.0,2.0,1.0,0
32.0,1.0,19.0,1.0,4655.0,2.0,35.0,2.0,1.0,0
62.0,2.0,20.0,3.0,3323.0,0.0,40.0,1.0,3.0,1
18.0,2.0,16.0,5.0,1108.0,17.0,8.0,1.0,1.0,0
45.0,3.0,21.0,1.0,2310.0,0.0,40.0,2.0,1.0,1
32.0,1.0,21.0,1.0,910.0,1.0,45.0,1.0,1.0,1
51.0,4.0,18.0,1.0,3601.0,1.0,11.0,2.0,1.0,0
34.0,4.0,22.0,1.0,2205.0,9.0,20.0,1.0,6.0,0
57.0,1.0,16.0,1.0,5860.0,0.0,60.0,2.0,1.0,0
43.0,3.0,21.0,5.0,705.0,2.0,40.0,1.0,6.0,1
39.0,1.0,19.0,1.0,6520.0,0.0,40.0,1.0,1.0,1
35.0,3.0,24.0,5.0,2205.0,0.0,55.0,1.0,1.0,1
47.0,1.0,23.0,1.0,4710.0,0.0,55.0,1.0,9.0,1
